""
"1","astar"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"porcentajePrebusquedasUtiles","NaN","63.1344","62.265","61.1786","60.2884","63.1343","47.3891","54.8196","29.5777"
"1",""
"1","Openoffice"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","4365853","4365853","4365853","4365853","4365853","4365853","4365853","4365853","4365853"
"porcentajeReconocido.0","62.2534","57.9598","57.9598","62.7454","60.3217","57.9598","81.1006","0","62.2534"
"numEntradasTotales","4311112","4593761","4628711","4776017","4490162","4593483","5878708","6967250","8763982"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","4048968","4331617","4366567","4513873","4228018","4331339","5616564","6705106","8501838"
"porcentajePrebuscado","0","54.9208","56.0239","60.8925","51.0583","54.9251","79.8433","87.1296","77.2703"
"porcentajeDesperdicio","0","5.994","6.6867","9.4998","3.8838","5.995","26.2063","37.6363","50.4448"
"porcentajeExito","1.2538","52.5675","53.3762","57.2185","49.6648","52.5749","72.8586","79.4608","54.3725"
"porcentajeAciertosPorPrebusqueda","0","98.611","98.6784","98.9486","98.3565","98.5992","99.6115","99.8055","99.5835"
"porcentajePrebusquedasUtiles","NaN","89.0861","88.0646","84.3991","92.3934","89.0852","67.1778","56.8042","34.7165"
"1",""
"1","povray"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","60452","60452","60452","60452","60452","60452","60452","60452","60452"
"porcentajeReconocido.0","68.7653","77.9246","77.9246","79.8038","76.8262","77.9246","89.6017","0","68.7653"
"numEntradasTotales","60413","64406","65546","66223","62288","64406","75600","80666","65215"
"numEntradasActuales","60413","64406","65546","66223","62288","64406","75543","77956","65215"
"numReemplazos","0","0","0","0","0","0","57","2710","0"
"porcentajePrebuscado","0","63.019","70.1263","70.0346","53.4116","63.019","87.3386","87.3491","46.6672"
"porcentajeDesperdicio","0","6.1997","7.8311","8.7734","3.0102","6.1997","20.0886","25.1072","7.3633"
"porcentajeExito","0.0645","60.6001","67.609","67.174","51.9966","60.6001","84.1659","83.1188","42.4651"
"porcentajeAciertosPorPrebusqueda","0","99.8935","99.9046","99.9113","99.8759","99.8935","99.9489","99.9423","99.8481"
"porcentajePrebusquedasUtiles","NaN","90.1621","88.8328","87.4728","94.3641","90.1621","76.9992","71.2564","84.2216"
"1",""
"1","sjeng"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06"
"porcentajeReconocido.0","99.9415","99.9363","99.9363","99.952","99.938","99.9363","99.9736","0","99.9415"
